system:index,CGIAR_Aridity_Index,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_exBIO_NPP,EarthEnvTexture_Contrast_EVI,EarthEnvTopoMed_Elevation,SG_Soil_pH_H2O_000cm,WCS_Human_Footprint_2009,Site,.geo
00000000000000000034_0,12203,231.5507001,2450.1604,23746.639,43764,708.5,57.046352,15.349382,PSA0161-2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035_0,11804,242.3331612,2413.6777,23599.32,89924,508.5,55.967247,17.71344,PSA0112-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036_0,12536,239.3991767,2411.6272,23590.559,45246,565,57.73692,12.6963415,PSA0156-2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037_0,12565,232.5002742,2436.137,23690.55,136736,696.5,55.540417,13.480593,PSA0022-2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038_0,12212,239.5830147,2398.965,23538.674,89743,552,58.29537,11.177318,PSA0026-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039_0,8406,269.5334268,1974.8937,21523.383,57531,56.5,62.04944,17.805075,PSA0280-2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a_0,8752,268.5501416,1800.5444,20523.379,77176,81,62.437717,15.124346,Pasture6,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_0,8831,271.4832852,1752.3843,20226.533,137734,21,61.915134,15.892147,Pasture7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c_0,8839,270.467129,1766.0342,20311.666,154185,52,62.158897,14.292229,Pasture8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d_0,8717,271.5,1750.9915,20217.576,71029,18,63.36361,14.283366,Pasture9,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003e_0,8418,271.5,1756.1447,20250.025,52539,25.5,62.33027,17.775066,Pasture10,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f_0,8829,268.4662939,1826.3096,20678.135,39205,74.5,62.50832,22.472284,PSA0377-2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040_0,13025,231.6312033,2414.4243,23601.924,91195,733,57.593395,12.834423,PSA0131-2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000041_0,11320,253.2671249,2371.932,23425.918,32888,281.5,56.548843,12.580771,PSA0153-2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
