Site,Latitude,Longitude,Recording Failure,Recorder,Mean Canopy Height,Land Use Type,Microphone Deployment Date,Minutes Annotated,Mean Annual Percipitation,Enhanced Vegitation Index (EVI),Elevation,Human Footprint,distanceToRoad,Forest Condition
PSA0313-2012,10.058171,-85.236168,No,ZH19,2.65,Plantation,20.06.2022,0,1895.6562,267941,31.5,18.217894,33,Monoculture
PSA0331-2012,10.360031,-85.604238,No,RFX30,12.97033333,Plantation,14.06.2022,1,1904.7117,64925,107,9.261373,436,Monoculture
PSA0332-2012,10.051912,-85.229422,No,RFX13,11.731,Plantation,20.06.2022,1,1880.1718,107312,80,16.49499,58,Monoculture
PSA0341-2012,9.837511,-84.972004,No,RFX16,10.00766667,Natural Regeneration,10.06.2022,0,2656.1677,89492,95,11.811323,216,"Secondary, Regenerating"
PSA0342-2013,10.042576,-85.212849,No,RFX33,9.101666667,Plantation,20.06.2022,1,1869.0511,57233,54,19.324673,33,Monoculture
PSA0350-2012,10.015324,-85.417598,No,ZH20,1.234,Plantation,13.06.2022,1,2398.8225,56181,612.5,18.90254,71,Monoculture
PSA0351-2012,10.022188,-85.446894,No,ZH11,5.337,Plantation,13.06.2022,1,2367.0085,69011,414,10.618157,45,Monoculture
PSA0355-2013,10.074065,-85.394653,Yes,RFX20,7.459,Plantation,19.06.2022,0,2266.1953,72610,277.5,11.736897,NA,Monoculture
PSA0373-2011,10.026163,-85.493021,No,ZH2,3.683666667,Plantation,13.06.2022,1,2318.298,47662,194,15.886535,197,Monoculture
PSA0374-2012,10.048363,-85.427338,No,RFX17,7.170666667,Plantation,13.06.2022,0,2312.5686,37861,349.5,17.93314,131,Monoculture
PSA0375-2012,10.057577,-85.303775,Yes,RFX9,6.353,Plantation,15.06.2022,0,2124.1443,100848,136,19.005163,NA,Monoculture
PSA0377-2011,10.39411,-85.669684,No,ZH14,11.74333333,Plantation,08.06.2022,1,1826.3096,39205,74.5,22.472284,213,Monoculture
PSA0380-2011,9.916817,-85.528727,No,RFX67,9.259666667,Plantation,22.06.2022,0,2311.0764,61720,66,15.088983,190,Monoculture
PSA0388-2012,10.077634,-85.384929,Yes,RFX16,8.06,Plantation,19.06.2022,0,2199.5974,26807,266.5,12.7964325,NA,Monoculture
PSA0397-2012,10.042171,-85.294174,Yes,ZH1,1.993,Plantation,15.06.2022,0,2163.442,114870,175,18.662054,NA,Monoculture
PSA0400-2013,10.013978,-85.441603,No,RFX20,3.964333333,Plantation,13.06.2022,1,2394.2822,70796,432.5,15.489172,53,Monoculture
PSA0401-2011,10.349981,-85.606619,No,ZH12,9.071666667,Plantation,14.06.2022,0,1817.2378,19569,53,11.809204,441,Monoculture
PSA0418-2013,10.132322,-85.4932,No,RFX16,5.534666667,Natural Regeneration,18.05.2022,1,2392.3298,40654,410.5,14.453773,766,"Secondary, Regenerating"
PSA0429-2012,10.061398,-85.49633,No,RFX39,8.775,Plantation,13.06.2022,2,2226.2754,86483,151,17.282925,267,Monoculture
PSA0431-2013,9.769693,-84.968224,No,RFX6,7.119333333,Natural Regeneration,19.05.2022,2,2405.3406,98232,40.5,14.331715,334,"Secondary, Regenerating"
PSA0483-2013,9.984975,-85.500986,No,RFX15,5.917,Plantation,22.06.2022,0,2562.5796,49866,315.5,15.508374,300,Monoculture
RefForest1,9.781682,-84.929703,No,ZH16,8.671,Reference Forest,10.06.2022,4,2446.7754,589227,100.5,14,225,"Old Growth, Protected Area"
RefForest10,10.130953,-85.443589,No,ZH11,5.109666667,Reference Forest,23.06.2022,2,2193.896,146550,185,23.188185,71,"Secondary, Mature, Protected Area"
RefForest11,10.288491,-85.58583,No,ZH10,4.171666667,Reference Forest,23.06.2022,1,1857.9937,94726,42,18.892029,113,"Secondary, Mature, Private Reserve"
RefForest12,10.190503,-85.597397,No,ZH14,3.190666667,Reference Forest,24.06.2022,1,2464.5876,25492,135,12.209855,64,"Old Growth, Protected Area"
RefForest13,10.201002,-85.601973,No,ZH16,3.649,Reference Forest,24.06.2022,2,2425.9478,95229,193.5,18.178421,12,"Old Growth, Protected Area"
RefForest14,10.196744,-85.608737,No,ZH1,4.293,Reference Forest,24.06.2022,2,2520.078,85748,346.5,12.663463,29,"Old Growth, Protected Area"
RefForest15,10.324198,-85.721857,No,ZH7,4.2,Reference Forest,24.06.2022,1,2024.1787,77653,47.5,15.0896635,71,"Secondary, Mature, Private Reserve"
RefForest16,10.367994,-85.793354,No,ZH9,9.245666667,Reference Forest,24.06.2022,4,1781.9836,73284,31.5,24.463493,135,"Secondary, Mature, Private Reserve"
RefForest17,10.342749,-85.851379,No,ZH17,3.142333333,Reference Forest,24.06.2022,1,1740.1675,1028569,10,16.213848,184,"Secondary, Mature, Protected Area"
RefForest18,10.394641,-85.816081,No,ZH2,7.385,Reference Forest,24.06.2022,1,1706.0718,352698,12.5,18.6793,45,"Secondary, Mature, Protected Area"
RefForest19,10.240592,-85.549164,No,ZH4,5.168666667,Reference Forest,24.06.2022,0,1992.7914,158185,67.5,18.172184,58,"Secondary, Mature, Private Reserve"
RefForest2,10.162399,-85.585746,Yes,RFX5,5.725,Reference Forest,31.05.2022,0,2564.5225,21447,301,10.960212,NA,"Old Growth, Protected Area"
RefForest20,10.107121,-85.363015,Yes,ZH12,3.462666667,Reference Forest,24.06.2022,0,1983.3301,135335,132,16.166958,NA,"Secondary, Mature, Private Reserve"
RefForest3,10.00431,-85.406399,Yes,RFX38,3.859666667,Reference Forest,03.06.2022,1,2405.051,77608,743.5,12.768361,NA,"Old Growth, Protected Area"
RefForest4,9.930764,-85.008129,No,ZH6,5.692,Reference Forest,11.06.2022,1,2292.2915,155223,18,15.158836,385,"Old Growth, Private Reserve"
RefForest5,10.173025,-85.362946,No,ZH4,6.293666667,Reference Forest,15.06.2022,4,2001.8702,24006,372.5,10.915335,41,"Old Growth, Protected Area"
RefForest6,9.954842,-85.20542,No,ZH13,7.975666667,Reference Forest,20.06.2022,1,2305.3945,218357,136,15.89529,0,"Secondary, Mature, Protected Area"
RefForest7,9.891859,-84.956505,No,ZH18,9.557333333,Reference Forest,20.06.2022,2,2510.9995,122825,73.5,10.578983,592,"Secondary, Mature, Protected Area"
RefForest8.1,9.900216,-85.511873,No,RFX8,2.761666667,Reference Forest,22.06.2022,2,2245.818,103303,132.5,15.189233,521,"Secondary, Mature, Jointly Managed Reserve"
RefForest8.2,10.130734,-85.462651,No,ZH5,4.356,Reference Forest,23.06.2022,0,2287.5793,128058,249,18.753899,20,"Secondary, Mature, Protected Area"
RefForest9,10.128029,-85.455111,No,ZH6,3.756333333,Reference Forest,23.06.2022,1,2250.257,109682,300.5,19.259794,25,"Secondary, Mature, Protected Area"
