nearest_10,distance_nat,distance_past,distance_plant,closest_type,freq_category
1270,22747.9242732358,57081.1163780234,55858.4217861876,Natural_Regeneration,0-1 kHz
1280,27629.0050186675,47322.9758683593,41507.9314036053,Natural_Regeneration,0-1 kHz
1290,25107.7874022694,54328.7251721263,56803.3344128885,Natural_Regeneration,0-1 kHz
1300,18457.9778582511,70325.79477143,48740.7304279795,Natural_Regeneration,0-1 kHz
1310,24113.3081858764,79912.3471613619,52104.9423732547,Natural_Regeneration,0-1 kHz
1320,21444.3211859774,80036.0155893247,62032.357057235,Natural_Regeneration,0-1 kHz
1330,26487.0838313685,72278.6400710495,50724.6069688617,Natural_Regeneration,0-1 kHz
1340,38609.3623078431,61525.5950078189,34862.1022823924,Plantation,0-1 kHz
1350,43142.5919636134,62458.0535695018,34403.8706110104,Plantation,0-1 kHz
1360,35839.3995944228,83611.6652157436,54744.4659093265,Natural_Regeneration,0-1 kHz
1370,27500.0016140051,60696.4860936067,50951.2698973053,Natural_Regeneration,0-1 kHz
1380,21700.2041045254,69817.2834567727,54009.1783144584,Natural_Regeneration,0-1 kHz
1390,29036.220216127,75405.8089315827,54150.7038864048,Natural_Regeneration,0-1 kHz
1400,31547.1652628779,45498.8160800679,53237.9591662078,Natural_Regeneration,0-1 kHz
1410,43026.001763881,25712.3482548076,41745.5643007445,Pasture,0-1 kHz
1420,32171.0317205137,22935.9607624389,61606.0470860418,Pasture,0-1 kHz
1430,28996.1551349812,17695.5799149099,62223.5721967991,Pasture,0-1 kHz
1440,34851.8044830441,25102.2949078387,64390.1846886147,Pasture,0-1 kHz
0,54431.2048468503,70854.3224883913,40631.2779675317,Plantation,1-2 kHz
10,59055.4866447338,71851.4517253134,50151.9842247308,Plantation,1-2 kHz
20,53832.5197525048,52123.3947052522,41007.2879962883,Plantation,1-2 kHz
30,55130.7904180051,57351.5523968629,38882.761461191,Plantation,1-2 kHz
40,45877.2075840821,67019.3035593229,33749.233570355,Plantation,1-2 kHz
50,40610.064106855,63687.934283549,39645.7733296979,Plantation,1-2 kHz
60,46688.691897723,69888.2379940497,37983.1672018449,Plantation,1-2 kHz
70,47174.4498768937,65446.4650749822,32445.7111527658,Plantation,1-2 kHz
80,38338.8525596021,81955.2879797307,34798.5436981176,Plantation,1-2 kHz
90,38692.8305884761,72645.2275137569,37241.4541310843,Plantation,1-2 kHz
